segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,age_range,epithelial,Transiently Amplifying Cells (TA),descriptive,2,40-49 | 60-69,4,3,3,3.0636009333859345e-17,,60-69,0.9803921568627451,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Tuft Cells,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Tuft Progenitors,descriptive,2,40-49 | 60-69,4,3,3,0.144138255971181,,40-49,50.0,60-69,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Villus Tip Enterocytes,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,assay,epithelial,BEST4 Colonocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,BEST4 Enterocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.26023042053801143,,10x 3' v3,2.5,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Brunners Gland Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.07060969073051226,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Colonocyte Progenitors,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Crypt Top Colonocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,EEC Enterochromaffin (EC),descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,EEC L,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.25477954228040817,,10x 3' v3,1.6666666666666667,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,EEC N,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.17483738427429654,,10x 3' v3,0.8333333333333334,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,EEC Progenitors,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,EEC S,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Enterocyte Progenitors,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v3,1.6666666666666667,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Enteroendocrine Cells (EEC),descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Epithelial,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Foveolar Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Goblet Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Intestinal Stem Cells (ISC),descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.25532256892918115,,10x 3' v3,5.833333333333333,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Lower Crypt Colonocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Lower Villus Enterocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v3,23.333333333333332,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Mature Goblet Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Microfold Cells (M Cells),descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Mid Crypt Colonocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Mid Villus Enterocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v3,7.5,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Paneth Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v3,50.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Secretory Progenitors,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.0,,10x 3' v2,0.0,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Transiently Amplifying Cells (TA),descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.059257419267244774,,10x 3' v3,4.166666666666666,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Tuft Cells,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.25477954228040817,,10x 3' v3,1.6666666666666667,10x 3' v2,0.0,0,0,False,,,,
duodenum,assay,epithelial,Tuft Progenitors,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.09788670276565148,,10x 3' v2,50.0,10x 3' v3,0.0,0,0,False,,,,
duodenum,assay,epithelial,Villus Tip Enterocytes,descriptive,2,10x 3' v2 | 10x 3' v3,6,5,3,0.17483738427429654,,10x 3' v3,0.8333333333333334,10x 3' v2,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,BEST4 Colonocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,BEST4 Enterocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Brunners Gland Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Colonocyte Progenitors,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Crypt Top Colonocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,EEC Enterochromaffin (EC),descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,EEC L,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,EEC N,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
