segment,covariate,category_A,category_B,contrast,lineage,celltype,analysis_type,n_samples_A,n_samples_B,n_donors_A,n_donors_B,n_datasets_A,n_datasets_B,mean_clr_A,mean_clr_B,delta_clr_B_minus_A,median_within_lineage_pct_A,median_within_lineage_pct_B,delta_median_pct_B_minus_A,mannwhitney_p_value,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,mannwhitney_fdr_within_segment_covariate_contrast
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Crypt Top Colonocytes,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,EEC Enterochromaffin (EC),descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,EEC L,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,EEC N,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,EEC Progenitors,descriptive,2,2,2,1,2,1,-0.039236153166716914,0.29728628683054636,0.3365224399972633,0.0,50.0,50.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,EEC S,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Enterocyte Progenitors,descriptive,2,2,2,1,2,1,-0.039236153166716914,1.1020052430475964,1.1412413962143133,0.0,6.862745098039216,6.862745098039216,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Enteroendocrine Cells (EEC),descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Epithelial,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Foveolar Cells,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Goblet Cells,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Intestinal Stem Cells (ISC),descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Lower Crypt Colonocytes,descriptive,2,2,2,1,2,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,2,0,False,
duodenum,age_range,40-49,60-69,60-69 minus 40-49,epithelial,Lower Villus Enterocytes,descriptive,2,2,2,1,2,1,-0.039236153166716914,1.3574180549305916,1.3966542080973086,0.0,11.76470588235294,11.76470588235294,,2,0,False,
