segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
ileum,radial_tissue_term,EPI,epithelial,EEC S,8,8,1,1.0,1,0.125,0.0,-0.1489808226714685,-0.12967726951254877,-0.4477570552391058,-0.052918982374736134,0.26041666666666663,0.0,0.0,0.0,0.125
ileum,radial_tissue_term,EPI,epithelial,Enterocyte Progenitors,8,8,1,2.0,2,0.25,0.0,-0.01165428658795481,-0.08621988816611315,-0.2185856869780537,0.10871983809555508,0.8285984848484849,0.0,0.0,0.5208333333333333,0.25
ileum,radial_tissue_term,EPI,epithelial,Enteroendocrine Cells (EEC),8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Epithelial,8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Foveolar Cells,8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Goblet Cells,8,8,1,3.0,2,0.375,0.0,0.05219891638279406,-0.08621988816611315,-0.22518405871578606,0.10871983809555508,0.9957107843137254,0.0,0.0,0.5208333333333333,0.25
ileum,radial_tissue_term,EPI,epithelial,Intestinal Stem Cells (ISC),8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Lower Crypt Colonocytes,8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Lower Villus Enterocytes,8,8,1,7.0,3,0.875,0.0,0.3374967145923598,-0.048358039305396394,-0.12231856020034959,0.8398593955095452,2.742551566080978,0.0,0.0,5.551948051948052,0.375
ileum,radial_tissue_term,EPI,epithelial,Mature Goblet Cells,8,8,1,12.0,4,1.5,0.5,0.49372712189136403,0.25667582935782707,-0.07184990680509451,0.6285829265443522,6.098842946269417,1.0416666666666665,0.0,2.8781512605042017,0.5
