celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Tuft Cells,epithelial,False,214,11,0.046985983012790784,0.42851946751617687,0.3815334845033861,0.7163624691764907,0.8529139606538317,0.06909477691912257,inferential
Naive B,lymphoid,False,219,15,0.540050707284289,0.6144924588053728,0.07444175152108379,0.7168106690601352,0.8529139606538317,0.06909477691912257,inferential
EEC Enterochromaffin (EC),epithelial,False,214,11,-0.3641933838640342,-0.4728642583380149,-0.10867087447398066,0.7306002522455597,0.8584552963885326,0.06628231557269018,inferential
Secretory Pericytes,stroma,False,105,12,-0.852464304139995,-0.8244793898024065,0.02798491433758843,0.7634439382383726,0.8859719777087288,0.05258001413882716,inferential
Eosinophils,myeloid,False,191,12,-0.8971282740895788,-0.9706887894648792,-0.0735605153753004,0.8137572589633515,0.9243793363617897,0.03414977133264475,inferential
Mid Villus Enterocytes,epithelial,False,214,11,2.356559956561174,2.379248719939014,0.022688763377840093,0.825213650092872,0.9243793363617897,0.03414977133264475,inferential
Smooth Muscle Cells (SMC),stroma,False,105,12,-0.4114250203241104,-0.4103282815044064,0.0010967388197039574,0.8327919428187809,0.9243793363617897,0.03414977133264475,inferential
Gamma Delta T Cells,lymphoid,False,219,15,-1.0974850198464388,-1.0883723155846505,0.00911270426178823,0.843723538029035,0.9243793363617897,0.03414977133264475,inferential
Interstitial Cells of Cajal (ICC),stroma,False,105,12,-0.9421440989532087,-0.9160304138580825,0.026113685095126238,0.8538797784402443,0.9243793363617897,0.03414977133264475,inferential
EEC Progenitors,epithelial,False,214,11,-0.675092665664653,-0.9257636060862514,-0.25067094042159843,0.8586442369322134,0.9243793363617897,0.03414977133264475,inferential
CD4 Tr1,lymphoid,False,219,15,-0.9484421847490688,-1.042162503547321,-0.09372031879825216,0.8653763999982712,0.9243793363617897,0.03414977133264475,inferential
EEC N,epithelial,False,214,11,-0.5673052112204623,-0.4652978352334946,0.10200737598696769,0.8848254518726411,0.9345347469216658,0.029404546488679136,inferential
CD8 Naive,lymphoid,False,219,15,-0.8098144724113413,-0.8424470186437214,-0.0326325462323801,0.9120965750754984,0.9514386018494504,0.021619232325286553,inferential
CD4 Tfr,lymphoid,True,219,15,-0.7370904111545424,-0.7929845289950964,-0.05589411784055398,0.9246136513155945,0.9514386018494504,0.021619232325286553,inferential
Follicular Dendritic Cells (fDC),stroma,True,105,12,-0.763800246592444,-0.9160304138580825,-0.15223016726563843,0.9391300370651918,0.9514386018494504,0.021619232325286553,inferential
Paneth Cells,epithelial,False,214,11,-0.6365663881320472,-0.7260159172375042,-0.089449529105457,0.9413169145957329,0.9514386018494504,0.021619232325286553,inferential
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,105,12,-0.8395419502371988,-0.8582681488114202,-0.01872619857422142,0.9892481264034241,0.9892481264034241,0.0046947635976180395,inferential
