segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
colon,sex_ontology_term,stroma,Glia,inferential,2,female | male,79,53,8,0.005235185592473368,0.3430830688280347,male,1.5273865414710486,female,1.5184381778741864,9,4,True,,,0.7777597723922389,
colon,sex_ontology_term,stroma,Interstitial Cells of Cajal (ICC),inferential,2,female | male,79,53,8,0.0,0.7494950146105435,female,0.0,female,0.0,9,4,True,,,0.9149679399141699,
colon,sex_ontology_term,stroma,Lamina propria Fibroblasts (S1),inferential,2,female | male,79,53,8,0.0005349716914713934,0.19131883841920894,female,20.0,male,8.941508912826396,9,4,True,,,0.7171899086626011,
colon,sex_ontology_term,stroma,Lymphatic Endothelial,inferential,2,female | male,79,53,8,0.0,0.5456948104156332,female,0.0,female,0.0,9,4,True,,,0.8659121816310071,
colon,sex_ontology_term,stroma,Marginal Reticular Cells (MRC),inferential,2,female | male,79,53,8,0.01490904178392583,0.29996235302772256,female,0.0,female,0.0,9,4,True,,,0.7777597723922389,
colon,sex_ontology_term,stroma,Medullary Sinus Endothelial,inferential,2,female | male,79,53,8,0.0,0.727254753718432,female,0.0,female,0.0,9,4,True,,,0.9149679399141699,
colon,sex_ontology_term,stroma,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),inferential,2,female | male,79,53,8,0.0,0.9725687694963729,female,0.0,female,0.0,9,4,True,,,0.9936460006568212,
colon,sex_ontology_term,stroma,Muscularis Propria Fibroblasts,inferential,2,female | male,79,53,8,0.0,0.9882418670697989,female,0.0,female,0.0,9,4,True,,,0.9936460006568212,
colon,sex_ontology_term,stroma,Myofibroblasts,inferential,2,female | male,79,53,8,0.0,0.7125532342537275,female,1.536312849162011,male,1.5319180969587474,9,4,True,,,0.9149679399141699,
colon,sex_ontology_term,stroma,Post Arteriole Capillary Endothelial (PAC),inferential,2,female | male,79,53,8,0.0,0.8097821576291095,male,5.310898767483728,female,4.166666666666666,9,4,True,,,0.9457863306179245,
colon,sex_ontology_term,stroma,Pre Venule Capillary Endothelial (PVC),inferential,2,female | male,79,53,8,0.0,0.4522943198770939,female,0.0,female,0.0,9,4,True,,,0.8268547860328272,
colon,sex_ontology_term,stroma,Secretory Pericytes,inferential,2,female | male,79,53,8,0.0,0.8250476501135087,female,0.0,female,0.0,9,4,True,,,0.9457863306179245,
colon,sex_ontology_term,stroma,Smooth Muscle Cells (SMC),inferential,2,female | male,79,53,8,0.0,0.980404372749356,female,0.0,female,0.0,9,4,True,,,0.9936460006568212,
colon,sex_ontology_term,stroma,Submucosal Fibroblasts (S3),inferential,2,female | male,79,53,8,0.0,0.8174062470083889,male,2.07381073302861,female,0.43383947939262474,9,4,True,,,0.9457863306179245,
colon,sex_ontology_term,stroma,Venular Endothelial,inferential,2,female | male,79,53,8,0.035148890399125464,0.06690358354078672,male,3.8073346567756765,female,2.6200873362445414,9,4,True,,,0.44766504956032815,
colon,age_range,epithelial,BEST4 Colonocytes,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.07951981043294702,0.020333630608506032,60-69,14.228673262348948,10-19,3.2407407407407405,11,3,True,0.35307226059839264,0.00016607258677754554,0.052540496488519634,0.001561082315708928
colon,age_range,epithelial,BEST4 Enterocytes,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.017709883234491415,0.24921141886215462,0-9,0.0,0-9,0.0,11,3,True,-0.05841430099087933,0.5462773921598054,0.3209023749731854,0.6846676648402895
colon,age_range,epithelial,Brunners Gland Cells,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.05286714885247637,0.0812807244584581,0-9,0.0,0-9,0.0,11,3,True,-0.058696973630564205,0.54433387117319,0.13643550176955468,0.6846676648402895
colon,age_range,epithelial,Colonocyte Progenitors,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.011864259793637782,0.3637534697977584,10-19,30.080211405269434,40-49,4.732733919573164,11,3,True,-0.06102902290796442,0.5284303072442327,0.4328205843163201,0.6846676648402895
colon,age_range,epithelial,Crypt Top Colonocytes,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.0,0.46281996975840756,40-49,22.533613611465615,10-19,6.656347941260271,11,3,True,0.22265181585845287,0.01996287331482553,0.5241575561119315,0.053614574045531424
