segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
ileum,radial_tissue_term,EPI_LP,lymphoid,CD4 tTreg,103,95,6,1589.0,87,15.427184466019417,6.0,0.12069919490751034,-0.029672782452956348,-0.40865893468309444,0.6334347722125264,1.5690166541735058,1.3325257419745609,0.5149969004816175,2.1426906469503026,0.8446601941747572
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 Circulating Effector Memory,103,95,6,1886.0,87,18.310679611650485,12.0,0.3700969990754644,0.4638857792371667,-0.09684716704978436,0.8283054325908401,2.123311251628989,1.917098445595855,0.9411816812826646,2.881052295761859,0.8446601941747572
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 Effector Memory,103,95,6,393.0,66,3.8155339805825244,1.0,-0.9270335579320768,-0.8344120623566242,-1.6022817858005305,-0.2565374716631472,0.5820072396443841,0.18066847335140018,0.0,0.7148692810457515,0.6407766990291263
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 IEL,103,95,6,2044.0,90,19.844660194174757,6.0,0.2100916096812756,0.08375190709405445,-0.42113373204844473,0.902632828703223,3.610162651783001,1.3024602026049203,0.4319064020556558,3.74076140008367,0.8737864077669902
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 Memory Exhausted,103,95,6,11.0,10,0.10679611650485436,0.0,-1.8209408426420666,-1.8746990316973449,-2.4739451774965855,-1.2813425712754674,0.008052481012320855,0.0,0.0,0.0,0.0970873786407767
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 Naive,103,95,6,936.0,65,9.087378640776699,2.0,-0.6260719574508903,-0.6500984737610587,-1.2493936862703219,-0.11841910724041549,1.0421798513535487,0.3194888178913738,0.0,1.0684352994264066,0.6310679611650486
ileum,radial_tissue_term,EPI_LP,lymphoid,CD8 TRM,103,95,6,8556.0,98,83.06796116504854,58.0,1.7584286500042878,1.7954985709230584,0.7816398087119498,2.554661389762078,13.401597530664512,8.547008547008547,3.539996383145458,18.85580461692874,0.9514563106796117
ileum,radial_tissue_term,EPI_LP,lymphoid,GC B Dark Zone (GC B DZ),103,95,6,3554.0,69,34.50485436893204,7.0,0.16265274114700415,0.2144874676313795,-0.9686467214305285,1.0482712688023343,6.593434884416756,1.4925373134328357,0.0,4.338703453598302,0.6699029126213593
ileum,radial_tissue_term,EPI_LP,lymphoid,GC B Light Zone (GC B LZ),103,95,6,1835.0,68,17.815533980582526,5.0,-0.13225979380624406,-0.11819517924695333,-0.9369388171196678,0.7291653384473458,2.7424720048712383,1.0447761194029852,0.0,2.8993783908449933,0.6601941747572816
ileum,radial_tissue_term,EPI_LP,lymphoid,Gamma Delta T Cells,103,95,6,568.0,40,5.514563106796117,0.0,-1.1554530033304165,-1.2455093073131307,-1.9788201232182812,-0.4843616920677454,0.7059661287044207,0.0,0.0,0.29227802107641,0.3883495145631068
ileum,radial_tissue_term,EPI_LP,lymphoid,ILC3,103,95,6,963.0,88,9.349514563106796,3.0,-0.43064113534073123,-0.41360148007329656,-0.947297227108348,0.01867808625526779,1.209150126200548,0.5938242280285035,0.17597364875721508,1.2333965844402277,0.8543689320388349
ileum,radial_tissue_term,EPI_LP,lymphoid,MAIT Cells,103,95,6,430.0,52,4.174757281553398,1.0,-1.0323217106357712,-0.9281190553008596,-1.6565119720448207,-0.47281497628306757,0.4269924696754428,0.042354934349851756,0.0,0.5819523775490296,0.5048543689320388
ileum,radial_tissue_term,EPI_LP,lymphoid,Memory B,103,95,6,14810.0,95,143.7864077669903,85.0,1.905710817905793,2.088193922404846,1.0798380662525922,2.8882189624814814,15.644403538501583,12.93759512937595,5.24346770086575,22.648897190890146,0.9223300970873787
ileum,radial_tissue_term,EPI_LP,lymphoid,NK Cells,103,95,6,763.0,86,7.407766990291262,4.0,-0.32402003935743556,-0.37335239245998686,-0.8537546510344516,0.20942051622704771,1.5588982115623602,0.6944444444444444,0.2544319358178054,1.651026050387446,0.8349514563106796
ileum,radial_tissue_term,EPI_LP,lymphoid,NKT Cells,103,95,6,1192.0,94,11.572815533980583,7.0,0.14639835986970925,0.08820230047730959,-0.34711401982091306,0.8356808742323429,3.4194218602007598,1.2515644555694618,0.6343598892070794,3.0184197552996013,0.912621359223301
ileum,radial_tissue_term,EPI_LP,lymphoid,Naive B,103,95,6,9807.0,90,95.2135922330097,32.0,1.3367903705002684,1.4922869636058067,0.14019608797206784,2.5292594507790023,9.818437013377526,6.866952789699571,1.4457269035462277,16.549232246299766,0.8737864077669902
ileum,radial_tissue_term,EPI_LP,lymphoid,Plasma Cells,103,95,6,490.0,73,4.757281553398058,1.0,-0.8012375898967843,-0.828810524273571,-1.4844236695693964,-0.42406999926040934,3.6871700376061214,0.24732069249793898,0.0,0.7100681217227626,0.7087378640776699
ileum,radial_tissue_term,EPI_LP,lymphoid,Plasma IGA,103,95,6,3141.0,88,30.49514563106796,10.0,0.4688091846184466,0.48762474785056176,-0.40973936588601534,1.3868886911134541,4.481488704093552,2.112676056338028,0.47894202823780285,6.717187338900918,0.8543689320388349
ileum,radial_tissue_term,EPI_LP,lymphoid,Plasma IGG,103,95,6,462.0,69,4.485436893203883,1.0,-0.8537204180364107,-0.8510198668427966,-1.4110963332348097,-0.2211897872917974,0.6888641590946638,0.2347417840375587,0.0,0.8744762542019149,0.6699029126213593
ileum,radial_tissue_term,EPI_LP,myeloid,Classical Monocytes,82,71,5,560.0,60,6.829268292682927,2.0,0.2577845709857591,0.08012752263656187,-0.29170426329457777,0.6979074930664932,5.5715168578526,2.909437156157427,0.0,6.374535629854779,0.7317073170731707
ileum,radial_tissue_term,EPI_LP,myeloid,Cycling Macrophages,82,71,5,238.0,64,2.902439024390244,2.0,0.15226007005392517,0.04326901539271599,-0.25554158160318985,0.5620719883768756,3.328324501385535,2.353266888150609,1.013157894736842,4.535217035217036,0.7804878048780488
ileum,radial_tissue_term,EPI_LP,myeloid,Eosinophils,82,71,5,3.0,3,0.036585365853658534,0.0,-0.8664836070573536,-0.9104543925476076,-1.1604161668418516,-0.6395597438812268,0.06056401897457572,0.0,0.0,0.0,0.036585365853658534
ileum,radial_tissue_term,EPI_LP,myeloid,Follicle Associated Resident Macrophages,82,71,5,406.0,51,4.951219512195122,1.0,0.21261791194420576,-0.005709425877528984,-0.6604784313921102,0.8939387158642529,7.299012211437855,2.020408163265306,0.0,11.412575366063738,0.6219512195121951
ileum,radial_tissue_term,EPI_LP,myeloid,Homeostatic Macrophages,82,71,5,986.0,71,12.024390243902438,6.0,1.092632330521006,0.9233864748423517,0.23272536553535716,1.9862392275588403,15.436699404130739,10.035971223021583,2.6509661835748792,25.0,0.8658536585365854
ileum,radial_tissue_term,EPI_LP,myeloid,M0 Macrophages,82,71,5,2140.0,73,26.097560975609756,17.5,1.8305219242752793,2.0803852699976892,1.3610387247506213,2.4123004972782787,28.604968738388823,29.28921568627451,14.987142397942783,38.24110671936759,0.8902439024390244
ileum,radial_tissue_term,EPI_LP,myeloid,Mast Cells,82,71,5,351.0,45,4.280487804878049,1.0,0.15846611218975318,-0.043321698784996254,-0.6279424630608832,1.0191963903346797,5.501865644540147,1.7105263157894737,0.0,9.506767308693389,0.5487804878048781
ileum,radial_tissue_term,EPI_LP,myeloid,Monocyte Derived Dendritic Cells (MO DC),82,71,5,22.0,17,0.2682926829268293,0.0,-0.7248543017802357,-0.7500624135952438,-1.0008634552498084,-0.3438058853554603,0.3540907498485236,0.0,0.0,0.0,0.2073170731707317
ileum,radial_tissue_term,EPI_LP,myeloid,Neutrophils,82,71,5,6.0,5,0.07317073170731707,0.0,-0.8446328818228651,-0.9325034456900607,-1.1822765037135925,-0.6746459514055165,3.743119729333939,0.0,0.0,0.0,0.06097560975609756
ileum,radial_tissue_term,EPI_LP,myeloid,Nonclassical Monocytes,82,71,5,19.0,15,0.23170731707317074,0.0,-0.7452686485311097,-0.8083631408124188,-1.0360117785013332,-0.3778403052936089,0.3263184209339718,0.0,0.0,0.0,0.18292682926829268
ileum,radial_tissue_term,EPI_LP,myeloid,Perivascular Resident Macrophages,82,71,5,214.0,27,2.6097560975609757,0.0,-0.4253195777494833,-0.6456565929547267,-0.9464783045437248,-0.07315830042381632,1.8556163808597055,0.0,0.0,0.8604825517993456,0.32926829268292684
ileum,radial_tissue_term,EPI_LP,myeloid,Tolerogenic cDC2,82,71,5,77.0,40,0.9390243902439024,0.0,-0.4122710598640207,-0.339321060696689,-0.7530967894300813,-0.043321698784996254,1.2700286573428687,0.0,0.0,1.8518518518518516,0.4878048780487805
ileum,radial_tissue_term,EPI_LP,myeloid,cDC1,82,71,5,265.0,57,3.231707317073171,2.0,0.10918124361909806,0.06636265456396417,-0.3053735660344653,0.4543663464045181,3.5258671977454705,2.9781259237363287,0.0,5.5059523809523805,0.6951219512195121
ileum,radial_tissue_term,EPI_LP,myeloid,cDC2,82,71,5,1262.0,73,15.390243902439025,8.0,1.2145309518632432,1.20724559841313,0.6361007250886316,1.7146594177875278,15.018236551511357,12.36111111111111,6.167763157894736,19.954954954954957,0.8902439024390244
ileum,radial_tissue_term,EPI_LP,myeloid,migDC,82,71,5,102.0,37,1.2439024390243902,0.0,-0.3765068400989392,-0.33008199063103394,-0.7352034879476022,-0.043321698784996254,1.258905747651092,0.0,0.0,2.0408163265306123,0.45121951219512196
