annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,jejunum,1,Enterocyte Progenitors,45,-0.32074612750812176,-0.593822711138359
Tissue,tissue_level_1,jejunum,1,Lower Villus Enterocytes,45,-0.024737826935960456,-0.3920919277267819
Tissue,tissue_level_1,jejunum,1,Mid Villus Enterocytes,45,-0.0649818746627753,-0.4345335914473983
Tissue,tissue_level_1,jejunum,1,Villus Tip Enterocytes,45,-0.20504904122475276,-0.48477494114368636
Tissue,tissue_level_1,jejunum,1,BEST4 Enterocytes,45,-0.19927162219909933,-0.24392793285757805
Tissue,tissue_level_1,jejunum,1,Colonocyte Progenitors,45,-0.7850784194511996,-0.5957824355127719
Tissue,tissue_level_1,jejunum,1,Lower Crypt Colonocytes,45,-0.7606648130363526,-0.7029270636434637
Tissue,tissue_level_1,jejunum,1,Mid Crypt Colonocytes,45,-0.8094920258660464,-0.5397835298106273
Tissue,tissue_level_1,jejunum,1,Crypt Top Colonocytes,45,-0.8094920258660464,-0.5964086880188262
Tissue,tissue_level_1,jejunum,1,BEST4 Colonocytes,45,-0.7850784194511996,-0.6942565014523727
Tissue,tissue_level_1,jejunum,1,Microfold Cells (M Cells),45,-0.7737267389230663,-0.3180376517371223
Tissue,tissue_level_1,jejunum,1,Enteroendocrine Cells (EEC),45,-0.8094920258660464,-0.15691491335856636
Tissue,tissue_level_1,jejunum,1,EEC Progenitors,45,-0.693008758864721,-0.8309439805066766
Tissue,tissue_level_1,jejunum,1,EEC S,45,-0.7379614519800864,0.12249935761108141
Tissue,tissue_level_1,jejunum,1,EEC Enterochromaffin (EC),45,-0.6679006514831163,-0.8584856370244551
Tissue,tissue_level_1,jejunum,1,EEC L,45,-0.6328298655068941,-0.5513406771721374
Tissue,tissue_level_1,jejunum,1,EEC N,45,-0.7850784194511996,-0.6269478544865192
Tissue,tissue_level_1,jejunum,1,Brunners Gland Cells,45,-0.8094920258660464,-0.32508344129350253
Tissue,tissue_level_1,jejunum,1,Paneth Cells,45,-0.6760723132636789,-0.2504570526909772
Tissue,tissue_level_1,jejunum,1,Tuft Cells,45,-0.59406294716444,-0.9825836701916955
Tissue,tissue_level_1,jejunum,1,Tuft Progenitors,45,-0.6891342391503926,-0.7959305165757298
Tissue,tissue_level_1,jejunum,1,Goblet Cells,45,-0.4562846751623561,-1.0324656767184013
Tissue,tissue_level_1,jejunum,1,Mature Goblet Cells,45,-0.7174223652795679,-0.941793008170421
Tissue,tissue_level_1,jejunum,1,Foveolar Cells,45,-0.8094920258660464,0.08325312460544378
Tissue,tissue_level_1,jejunum,1,Intestinal Stem Cells (ISC),45,-0.35633022568988776,-0.9245287666777144
Tissue,tissue_level_1,jejunum,1,Transiently Amplifying Cells (TA),45,-0.29306869710236705,-0.8441940596752279
Tissue,tissue_level_1,jejunum,1,Secretory Progenitors,45,-0.5429842817772375,-0.9762979114456589
Tissue,tissue_level_1,jejunum,1,Arteriolar Endothelial,45,-0.6066538182374276,-0.8316367411286163
