hgca_celltype_v1,n_cells,n_datasets,n_samples,n_donors,n_tissues,n_author_labels,author_v0_exact_fraction,author_level1_match_fraction,author_level2_match_fraction,author_level3_match_fraction,author_level4_match_fraction,author_level5_match_fraction,atlas_increased_resolution_fraction,atlas_same_resolution_fraction,atlas_reduced_resolution_fraction,atlas_changed_branch_fraction,author_taxonomy_mapped_fraction,cell_fraction,rare_lt_0_1pct,one_dataset_only,Disease/case,Health/control,Other/unknown,hgca_celltype_level1,taxonomy_order,lodo_f1,lodo_f1_support,lodo_f1_std,lodo_f1_n_folds,lodo_run
Medullary Sinus Endothelial,7,2,4,3,1,2,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.002197802197802198,False,False,0,1,1,Stromal,53,,,,,
Crypt Top Fibroblasts (S2B),1,1,1,1,1,1,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,1,0,Stromal,58,,,,,
Crypt Bottom Fibroblasts (S2A),6,3,6,6,2,3,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0018838304552590266,False,False,1,1,0,Stromal,59,,,,,
Lamina propria Fibroblasts (S1),33,4,8,6,2,3,0.8181818181818182,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.010361067503924647,False,False,1,1,1,Stromal,60,,,,,
Submucosal Fibroblasts (S3),58,2,8,4,3,4,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.018210361067503924,False,False,0,1,0,Stromal,61,,,,,
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),1,1,1,1,1,1,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0003139717425431711,True,True,0,0,1,Stromal,62,,,,,
Fibroblastic Reticular Cells (FRC),6,4,5,5,2,4,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,0,1,1,Stromal,63,,,,,
Marginal Reticular Cells (MRC),6,6,6,6,2,5,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,False,1,1,1,Stromal,64,,,,,
Follicular Dendritic Cells (fDC),1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,0,1,Stromal,65,,,,,
Muscularis Propria Fibroblasts,5,2,3,3,2,3,0.6,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0015698587127158557,False,False,0,1,0,Stromal,67,,,,,
Myofibroblasts,4,2,3,2,2,2,0.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0012558869701726845,False,False,0,1,1,Stromal,68,,,,,
Interstitial Cells of Cajal (ICC),6,1,3,1,1,3,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,True,0,1,0,Stromal,69,,,,,
Angiogenic Pericytes,3,3,3,3,2,3,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0009419152276295133,True,False,0,1,1,Stromal,71,,,,,
Contractile Pericytes,19,2,8,3,4,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.005965463108320251,False,False,0,1,1,Stromal,72,,,,,
Secretory Pericytes,1,1,1,1,1,1,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,0.0003139717425431711,True,True,0,0,1,Stromal,74,,,,,
Glia,5,2,2,2,2,2,0.0,1.0,1.0,,,,0.0,1.0,0.0,0.0,1.0,0.0015698587127158557,False,False,1,1,0,Stromal,75,,,,,
Smooth Muscle Cells (SMC),1,1,1,1,1,1,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0003139717425431711,True,True,0,1,0,Stromal,84,,,,,
Adipocytes,6,1,2,2,1,2,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0018838304552590266,False,True,0,1,0,Stromal,88,,,,,
Plasma Cells,84,6,13,13,3,7,0.9642857142857143,1.0,1.0,0.9880952380952381,,,0.0,0.9880952380952381,0.0,0.011904761904761904,1.0,0.026373626373626374,False,False,1,1,1,Lymphoid,91,,,,,
Plasma IGA,123,8,19,15,4,12,0.0,1.0,1.0,0.991869918699187,,,0.991869918699187,0.0,0.0,0.008130081300813009,1.0,0.038618524332810045,False,False,1,1,0,Lymphoid,92,,,,,
Plasma IGG,17,6,9,9,2,5,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.005337519623233909,False,False,1,1,1,Lymphoid,94,,,,,
GC B Dark Zone (GC B DZ),98,9,18,17,3,9,0.0,1.0,1.0,0.9897959183673469,,,0.9897959183673469,0.0,0.0,0.01020408163265306,1.0,0.03076923076923077,False,False,1,1,1,Lymphoid,97,,,,,
GC B Light Zone (GC B LZ),79,10,20,19,3,10,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.024803767660910518,False,False,1,1,1,Lymphoid,98,,,,,
Memory B,132,10,22,20,3,10,0.23484848484848486,1.0,1.0,0.9621212121212122,,,0.0,0.9621212121212122,0.0,0.03787878787878788,1.0,0.04144427001569859,False,False,1,1,1,Lymphoid,99,,,,,
Naive B,84,10,18,17,4,10,0.09523809523809523,1.0,1.0,0.8809523809523809,,,0.0,0.8809523809523809,0.0,0.11904761904761904,1.0,0.026373626373626374,False,False,1,1,1,Lymphoid,100,,,,,
CD4 Tfh,67,11,16,16,4,15,0.0,1.0,0.9850746268656716,0.9850746268656716,,,0.9850746268656716,0.0,0.0,0.014925373134328358,1.0,0.021036106750392466,False,False,1,1,1,Lymphoid,106,,,,,
CD4 Th17,145,13,29,28,5,19,0.0,1.0,1.0,0.9862068965517241,,,0.9862068965517241,0.0,0.0,0.013793103448275862,1.0,0.04552590266875981,False,False,1,1,1,Lymphoid,108,,,,,
