context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
,1,False,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,LP,jejunum
full_thickness,19,0,0.0,Follicle Associated Resident Macrophages,FARM,depth,,
not_full_thickness,109,1,0.009174311926605505,Follicle Associated Resident Macrophages,FARM,depth,,
,28,0,0.0,Follicle Associated Resident Macrophages,FARM,radial_layer,EPI,
,36,0,0.0,Follicle Associated Resident Macrophages,FARM,radial_layer,EPI_LP,
,19,0,0.0,Follicle Associated Resident Macrophages,FARM,radial_layer,EPI_LP_MUSC,
,33,1,0.030303030303030304,Follicle Associated Resident Macrophages,FARM,radial_layer,LP,
,12,0,0.0,Follicle Associated Resident Macrophages,FARM,radial_layer,WM,
,42,0,0.0,Follicle Associated Resident Macrophages,FARM,segment,,colon
,6,False,0.0,Follicle Associated Resident Macrophages,FARM,segment,,duodenum
,71,1,0.014084507042253521,Follicle Associated Resident Macrophages,FARM,segment,,ileum
,9,0,0.0,Follicle Associated Resident Macrophages,FARM,segment,,jejunum
full_thickness,8,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,colon
not_full_thickness,34,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,colon
full_thickness,2,False,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,duodenum
not_full_thickness,4,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,duodenum
full_thickness,8,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,ileum
not_full_thickness,63,1,0.015873015873015872,Follicle Associated Resident Macrophages,FARM,segment×depth,,ileum
full_thickness,1,False,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,jejunum
not_full_thickness,8,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×depth,,jejunum
,15,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI,colon
,9,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP,colon
,8,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,LP,colon
,5,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,WM,colon
,2,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI,duodenum
,2,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP_MUSC,duodenum
,9,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI,ileum
