celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,filter,filter_family,threshold
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,1,21.0,9.0,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Goblet Cells,Goblet cells,negative_control,sample,,,1,70.0,17.0,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,1,70.0,17.0,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
CD8 IEL,CD8 IEL,negative_control,sample,,,1,36.0,11.0,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,1,31.0,8.0,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Paneth Cells,Paneth cells,negative_control,sample,,,1,70.0,17.0,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
CD4 Tfr,Tfr,featured,sample,,,3,27.0,11.0,-0.7297332798824151,-0.4430808599873679,0.2866524198950472,0.10644182550021317,0.4728500176404622,0.009126277264388624,14.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,3,20.0,7.0,-0.11481909289115552,-0.11944747129885207,-0.004628378407696546,-0.3878494144401833,0.47886048597345626,0.31531295643953994,9.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Follicle Associated Resident Macrophages,FARM,featured,sample,,,3,24.0,8.0,-0.07353045835713276,-0.0832644329473761,-0.009733974590243333,-0.18947722921131063,0.10411524284903248,0.6773000797908737,14.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Tuft Progenitors,Tuft progenitors,featured,sample,,,3,60.0,15.0,-0.1554514519628686,-0.2488897364500428,-0.0934382844871742,-0.1782711527560908,-0.0042760089226291575,0.003934170869936205,13.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,3,63.0,15.0,-0.043230453401964734,0.11835757178371938,0.1615880251856841,-0.2468285769640922,0.6774014533706659,0.31916204277221794,14.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,3,63.0,14.0,0.019125051384670178,0.17550838040165462,0.15638332901698443,-0.3070436511326249,0.7917597962904475,0.20307626456209604,15.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,3,17.0,8.0,0.07932313246008925,0.2119034570477203,0.13258032458763103,-0.6295433893964131,1.0141329574605125,0.4462139381665947,9.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Goblet Cells,Goblet cells,negative_control,sample,,,3,63.0,17.0,0.28134219327367305,0.09206152329138968,-0.18928066998228338,-0.6851601466120475,0.3732275560970694,0.005672690134165102,15.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,3,63.0,17.0,0.20989192835952514,-0.08547995490896622,-0.29537188326849134,-0.6027612828176472,0.04094521585790145,0.0003332098581124859,15.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
CD8 IEL,CD8 IEL,negative_control,sample,,,3,24.0,9.0,0.6257932238316626,0.6278764022251703,0.0020831783935076897,-1.0274789095122616,0.9208499237501587,0.7926609800568587,13.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,3,28.0,7.0,-0.1321610472890922,-0.08535031364817873,0.04681073364091347,0.005534938039568692,0.09161390570345967,0.8676812885879842,13.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
Paneth Cells,Paneth cells,negative_control,sample,,,3,61.0,17.0,-0.15206415135208678,-0.22653261801475266,-0.07446846666266588,-0.178599797469351,0.023596374235006188,0.03780819574911233,15.0,sample_id,drop_sparse_0<n<3,ct_min_cells,3
CD4 Tfr,Tfr,featured,sample,,,5,27.0,11.0,-0.7297332798824151,-0.4430808599873679,0.2866524198950472,0.10644182550021317,0.4728500176404622,0.009126277264388624,14.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,5,20.0,6.0,-0.11481909289115552,-0.35713403019393614,-0.24231493730278061,-0.4429422770302276,-0.049820892317643736,0.0812376192571883,9.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Follicle Associated Resident Macrophages,FARM,featured,sample,,,5,23.0,8.0,-0.1494280078984065,-0.0832644329473761,0.0661635749510304,0.015506560800662893,0.11926087472271077,0.5199364761256791,13.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Tuft Progenitors,Tuft progenitors,featured,sample,,,5,60.0,15.0,-0.1554514519628686,-0.2488897364500428,-0.0934382844871742,-0.1782711527560908,-0.0042760089226291575,0.003934170869936205,13.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,5,62.0,15.0,-0.06317921646890505,0.11835757178371938,0.18153678825262443,-0.19530246931499473,0.6566231916149307,0.347750820907768,14.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,5,60.0,13.0,-0.05531876332503361,0.050705867226075285,0.10602463055110889,-0.245684475603671,0.6520359827876545,0.10877956439528183,15.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,5,17.0,8.0,0.07932313246008925,0.2119034570477203,0.13258032458763103,-0.6295433893964131,1.0141329574605125,0.4462139381665947,9.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Goblet Cells,Goblet cells,negative_control,sample,,,5,59.0,16.0,0.1899383826977997,-0.03026309900071672,-0.22020148169851642,-0.6388778498131633,0.3040583542774556,0.002551699651058448,15.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,5,61.0,17.0,0.15909104169471686,-0.08547995490896622,-0.2445709966036831,-0.5505505216626477,0.11384832973474858,0.0004412017897309927,15.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
CD8 IEL,CD8 IEL,negative_control,sample,,,5,21.0,8.0,0.4930009892210774,0.4835492772604146,-0.0094517119606628,-0.9644658129477215,0.9807337969495008,0.8643120120419925,12.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,5,28.0,7.0,-0.1321610472890922,-0.08535031364817873,0.04681073364091347,0.005534938039568692,0.09161390570345967,0.8676812885879842,13.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
Paneth Cells,Paneth cells,negative_control,sample,,,5,60.0,17.0,-0.17681982831547488,-0.22653261801475266,-0.04971278969927778,-0.1366725469052937,0.03804475869274667,0.045201556273713014,15.0,sample_id,drop_sparse_0<n<5,ct_min_cells,5
CD4 Tfr,Tfr,featured,sample,,,10,27.0,11.0,-0.7297332798824151,-0.4430808599873679,0.2866524198950472,0.10644182550021317,0.4728500176404622,0.009126277264388624,14.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,10,20.0,6.0,-0.11481909289115552,-0.35713403019393614,-0.24231493730278061,-0.4429422770302276,-0.049820892317643736,0.0812376192571883,9.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Follicle Associated Resident Macrophages,FARM,featured,sample,,,10,23.0,8.0,-0.1494280078984065,-0.0832644329473761,0.0661635749510304,0.015506560800662893,0.11926087472271077,0.5199364761256791,13.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Tuft Progenitors,Tuft progenitors,featured,sample,,,10,60.0,15.0,-0.1554514519628686,-0.2488897364500428,-0.0934382844871742,-0.1782711527560908,-0.0042760089226291575,0.003934170869936205,13.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,10,61.0,13.0,-0.11011730675576402,-0.21008964063970484,-0.09997233388394082,-0.25857320331071054,0.030407455381031765,0.07254696473420093,14.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,10,59.0,13.0,-0.08315297210957424,0.050705867226075285,0.13385883933564952,-0.22415553410201977,0.7096127827439057,0.1217822228948161,15.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,10,17.0,6.0,0.07932313246008925,-0.39030097370090316,-0.4696241061609924,-0.8988640493523917,-0.13847571876601955,0.041183779891913526,9.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Goblet Cells,Goblet cells,negative_control,sample,,,10,58.0,16.0,0.14610926596505378,-0.03026309900071672,-0.1763723649657705,-0.5609896827218229,0.3356621559029694,0.002951825761003517,15.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,10,59.0,16.0,0.07657958476575911,-0.222428137767621,-0.2990077225333801,-0.5176498556560453,-0.11567722475849802,9.58150292626273e-05,15.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
CD8 IEL,CD8 IEL,negative_control,sample,,,10,20.0,6.0,0.44968859064886957,-0.010513002049487305,-0.46020159269835686,-1.4852147549014552,0.6781105920464375,0.8789697578173148,11.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,10,28.0,7.0,-0.1321610472890922,-0.08535031364817873,0.04681073364091347,0.005534938039568692,0.09161390570345967,0.8676812885879842,13.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
Paneth Cells,Paneth cells,negative_control,sample,,,10,60.0,17.0,-0.17681982831547488,-0.22653261801475266,-0.04971278969927778,-0.1366725469052937,0.03804475869274667,0.045201556273713014,15.0,sample_id,drop_sparse_0<n<10,ct_min_cells,10
CD4 Tfr,Tfr,featured,donor,,,,34.0,9.0,-0.3406362450106224,-0.4771556578128167,-0.13651941280219432,-0.4418904145127879,0.15868259725895645,0.75388035555132,16.0,donor_id,donor_mean,aggregation,-1
Medullary Sinus Endothelial,Med. sinus endo.,featured,donor,,,,19.0,6.0,-0.06275322149581512,-0.0456644658548054,0.01708875564100972,-0.3178546720640414,0.4688721439194212,0.28199977919643715,9.0,donor_id,donor_mean,aggregation,-1
Follicle Associated Resident Macrophages,FARM,featured,donor,,,,31.0,8.0,0.18392264233067132,-0.0832644329473761,-0.2671870752780474,-0.4897266535265512,-0.08427116945723293,0.4935313166556319,14.0,donor_id,donor_mean,aggregation,-1
Tuft Progenitors,Tuft progenitors,featured,donor,,,,63.0,13.0,0.0049377870143355,-0.03063067716499767,-0.03556846417933317,-0.27924956301988557,0.27110188559128395,0.026986335384834664,15.0,donor_id,donor_mean,aggregation,-1
BEST4 Enterocytes,BEST4 enterocytes,featured,donor,,,,63.0,13.0,0.08478414222704275,0.15728792241668615,0.0725037801896434,-0.307725867839389,0.5723064604178759,0.38364607744817925,15.0,donor_id,donor_mean,aggregation,-1
BEST4 Colonocytes,BEST4 colonocytes,featured,donor,,,,63.0,13.0,0.10533862970885355,0.3863076909739646,0.28096906126511106,-0.22541056505723578,0.8537824299662736,0.6186762080521262,15.0,donor_id,donor_mean,aggregation,-1
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,donor,,,,19.0,6.0,0.2953497125020325,0.12952935377131325,-0.16582035873071926,-0.861955348999152,0.6200452304985822,0.34472983033844506,9.0,donor_id,donor_mean,aggregation,-1
Goblet Cells,Goblet cells,negative_control,donor,,,,63.0,13.0,0.35648312658522524,0.21697515551717167,-0.13950797106805357,-0.651883027688456,0.546035955902553,0.011746966515834284,15.0,donor_id,donor_mean,aggregation,-1
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,donor,,,,63.0,13.0,0.2639130029499423,-0.10742121108323109,-0.3713342140331734,-0.6158424335961205,-0.07116352924468444,0.0003593983490881946,15.0,donor_id,donor_mean,aggregation,-1
CD8 IEL,CD8 IEL,negative_control,donor,,,,34.0,9.0,0.5125320977694996,0.5709490744488245,0.058416976679324883,-0.7473060899427415,0.9715074414677775,0.9880881422501173,16.0,donor_id,donor_mean,aggregation,-1
Homeostatic Macrophages,Homeostatic mac.,negative_control,donor,,,,31.0,8.0,-0.028711994185737093,0.05406210313613764,0.08277409732187474,-0.13735048319546045,0.3828387300149856,0.773262288967739,14.0,donor_id,donor_mean,aggregation,-1
Paneth Cells,Paneth cells,negative_control,donor,,,,63.0,13.0,0.00676143253722118,-0.1996479523447069,-0.20640938488192806,-0.33484357386166097,-0.08576692462769654,0.00616121954237137,15.0,donor_id,donor_mean,aggregation,-1
