celltype,short_name,role,dataset_id,inference,n_A,n_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets_both_arms,n_datasets_total,is_pooled,arm_mean_CLR,arm_present
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,ALL (pooled),mixed,70,17,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,1,15,True,,
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09063482118500803,full
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,-0.06952563225529106,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.07417076496265583,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Elmentaite2020,within-study,1,13,-0.04861143273564349,,,,1,1,False,,
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.12107573753869177,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0392361531667169,full
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,1.349440456436244,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,0.5659918430124341,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.16869737565491583,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.09895113473497315,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.0581670775970757,rest
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
CD8 IEL,CD8 IEL,negative_control,ALL (pooled),mixed,36,11,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,1,16,True,,
CD8 IEL,CD8 IEL,negative_control,BasuHelmsley,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.042254318794928,rest
CD8 IEL,CD8 IEL,negative_control,Dominguez2022,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.815936181837297,full
CD8 IEL,CD8 IEL,negative_control,Elmentaite2020,within-study,1,8,1.3515102939260184,,,,1,1,False,,
CD8 IEL,CD8 IEL,negative_control,HamiltonHelmsley,one-arm (no within-study contrast),6,0,,,,,0,1,False,1.0894411388614154,rest
CD8 IEL,CD8 IEL,negative_control,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,0.0578892095162584,rest
CD8 IEL,CD8 IEL,negative_control,Jaeger2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0520778884827346,rest
CD8 IEL,CD8 IEL,negative_control,James2020_3p,one-arm (no within-study contrast),0,2,,,,,0,1,False,-0.5542668044423622,full
CD8 IEL,CD8 IEL,negative_control,Kong2023_v2,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.6290054464272266,rest
CD8 IEL,CD8 IEL,negative_control,Kong2023_v3,one-arm (no within-study contrast),9,0,,,,,0,1,False,0.5442146760021039,rest
