celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,left_out,analysis,delta_all,delta_shift,same_sign
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,HamiltonHelmsley,,,58,17,0.07220101928417025,0.2246964897124307,0.15249547042826045,-0.247128125897844,0.5972534122973895,0.5054900258768757,14,sample_id,HamiltonHelmsley,lodo,0.15251389965465845,-1.8429226397997933e-05,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,HamiltonHelmsley,,,58,17,0.0729121047761366,0.3011996445554728,0.22828753977933622,-0.1729566018918233,0.7067465472366075,0.7367572226563641,14,sample_id,HamiltonHelmsley,lodo,0.18134448557572372,0.0469430542036125,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,HamiltonHelmsley,,,19,9,0.33024953506730337,0.2755658116231265,-0.05468372344417688,-0.7715706222129951,0.775538410478194,0.4806936811140423,8,sample_id,HamiltonHelmsley,lodo,-0.007972882761821065,-0.046710840682355814,True
Goblet Cells,Goblet cells,negative_control,sample,HamiltonHelmsley,,,58,17,0.36660352290651455,0.09206152329138968,-0.2745419996151249,-0.7149676885947104,0.2559959474256409,0.0012802540688121409,14,sample_id,HamiltonHelmsley,lodo,-0.2627410012120709,-0.011800998403053986,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,HamiltonHelmsley,,,58,17,0.30942348771094536,-0.08547995490896622,-0.39490344261991156,-0.7538696185337843,-0.004363687379145146,5.5841989975524235e-05,14,sample_id,HamiltonHelmsley,lodo,-0.36261525687609675,-0.03228818574381481,True
CD8 IEL,CD8 IEL,negative_control,sample,HamiltonHelmsley,,,30,11,0.3983662046107514,0.7772343645751548,0.37886815996440343,-0.3866523774365997,1.2130345565609464,0.40159234412556144,15,sample_id,HamiltonHelmsley,lodo,0.2636890042559594,0.115179155708444,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,HamiltonHelmsley,,,31,8,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14,sample_id,HamiltonHelmsley,lodo,0.08277409732187474,0.0,True
Paneth Cells,Paneth cells,negative_control,sample,HamiltonHelmsley,,,58,17,0.03289599733368418,-0.22653261801475266,-0.25942861534843686,-0.41349321700291114,-0.11804080644975277,0.006128318172707886,14,sample_id,HamiltonHelmsley,lodo,-0.22746175844066202,-0.03196685690777484,True
CD4 Tfr,Tfr,featured,sample,He2020,,,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16,sample_id,He2020,lodo,-0.08272730242480325,0.0,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,He2020,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,He2020,lodo,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,He2020,,,31,7,0.18392264233067127,-0.08535031364817873,-0.26927295597885,-0.5025213034206605,-0.05214834945230297,0.44881640961630054,13,sample_id,He2020,lodo,-0.26718707527804736,-0.0020858807008026226,True
