sample_id,donor_id,dataset_id,segment,radial_layer,context,collection,sample_total_cells,detect_GC,n_support,detect_fDC,detect_Tfh,detect_Tfr,niche_primary,niche_strict,niche_loose
H3,H3,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
H30,H30,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H42,H42,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H46,H46,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
H52,H52,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
H54,H54,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,61.0,True,1,False,True,False,True,False,True
H57,H57,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
H6,H6,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
H9,H9,Krzak2023,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA08-TI,HA08,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA14-TI,HA14,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,12.0,False,0,False,False,False,False,False,False
HA41-TI,HA41,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA51-TI,HA51,BasuHelmsley,ileum,WM,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HA52-AC,HA52,BasuHelmsley,colon,WM,not_full_thickness,biopsy,15.0,False,0,False,False,False,False,False,False
HT-185-Adult-duo,HT-185,Yu2021,duodenum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
HT-188-Adult-Duo,HT-188,Yu2021,duodenum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Helm_CH_7045_RC_Epi,7045,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Helm_CH_7090_RC_Epi,7090,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,4.0,False,0,False,False,False,False,False,False
Helm_CH_7131_RC_Epi,7131,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
Helm_CH_7142_RC_Epi,7142,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Helm_CH_7142_RC_Str,7142,HamiltonHelmsley,colon,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Helm_CH_7175_RC_Epi,7175,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
Helm_I3_5242_RC_Epi,5242,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,12.0,False,0,False,False,False,False,False,False
Helm_I3_5243_RC_Epi,5243,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
Helm_I3_5245_RC_Epi,5245,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
Helm_I3_5249_RC_Epi,5249,HamiltonHelmsley,colon,EPI,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
Helm_I3_5249_RC_Str,5249,HamiltonHelmsley,colon,LP,not_full_thickness,biopsy,61.0,True,0,False,False,False,False,False,True
Helm_I3_5250_RC_Str,5250,HamiltonHelmsley,colon,LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
