context,n_samples,n_pos,capture_rate,rule,strata,radial_layer,segment,dataset_id,collection
,28,2,0.07142857142857142,niche_loose,radial_layer,EPI,,,
,36,8,0.2222222222222222,niche_loose,radial_layer,EPI_LP,,,
,19,1,0.05263157894736842,niche_loose,radial_layer,EPI_LP_MUSC,,,
,33,5,0.15151515151515152,niche_loose,radial_layer,LP,,,
,12,0,0.0,niche_loose,radial_layer,WM,,,
,42,8,0.19047619047619047,niche_loose,segment,,colon,,
,6,0,0.0,niche_loose,segment,,duodenum,,
,71,8,0.11267605633802817,niche_loose,segment,,ileum,,
,9,0,0.0,niche_loose,segment,,jejunum,,
,3,0,0.0,niche_loose,dataset,,,ArendsHelmsley,
,12,0,0.0,niche_loose,dataset,,,BasuHelmsley,
,4,0,0.0,niche_loose,dataset,,,Burclaff2022,
,1,0,0.0,niche_loose,dataset,,,Dominguez2022,
,15,1,0.06666666666666667,niche_loose,dataset,,,Elmentaite2020,
,14,3,0.21428571428571427,niche_loose,dataset,,,HamiltonHelmsley,
,1,0,0.0,niche_loose,dataset,,,He2020,
,2,1,0.5,niche_loose,dataset,,,Huang2019,
,2,0,0.0,niche_loose,dataset,,,Jaeger2021,
,1,0,0.0,niche_loose,dataset,,,James2020_3p,
,1,0,0.0,niche_loose,dataset,,,James2020_5p,
,2,0,0.0,niche_loose,dataset,,,Kinchen2018,
,6,1,0.16666666666666666,niche_loose,dataset,,,Kong2023_v2,
,26,2,0.07692307692307693,niche_loose,dataset,,,Kong2023_v3,
,15,3,0.2,niche_loose,dataset,,,Krzak2023,
,2,1,0.5,niche_loose,dataset,,,Lee2020,
,3,2,0.6666666666666666,niche_loose,dataset,,,Luoma2020,
,2,0,0.0,niche_loose,dataset,,,Martin2019,
,4,0,0.0,niche_loose,dataset,,,Wang2020,
,1,0,0.0,niche_loose,dataset,,,Wells2025,
,7,0,0.0,niche_loose,dataset,,,Wells2025_2,
,2,0,0.0,niche_loose,dataset,,,Yu2021,
,2,2,1.0,niche_loose,dataset,,,Zheng2024,
full_thickness,8,1,0.125,niche_loose,segment×depth,,colon,,
not_full_thickness,34,7,0.20588235294117646,niche_loose,segment×depth,,colon,,
full_thickness,2,0,0.0,niche_loose,segment×depth,,duodenum,,
not_full_thickness,4,0,0.0,niche_loose,segment×depth,,duodenum,,
full_thickness,8,0,0.0,niche_loose,segment×depth,,ileum,,
not_full_thickness,63,8,0.12698412698412698,niche_loose,segment×depth,,ileum,,
full_thickness,1,0,0.0,niche_loose,segment×depth,,jejunum,,
not_full_thickness,8,0,0.0,niche_loose,segment×depth,,jejunum,,
,15,1,0.06666666666666667,niche_loose,segment×radial_layer,EPI,colon,,
,9,4,0.4444444444444444,niche_loose,segment×radial_layer,EPI_LP,colon,,
,8,1,0.125,niche_loose,segment×radial_layer,EPI_LP_MUSC,colon,,
,5,2,0.4,niche_loose,segment×radial_layer,LP,colon,,
,5,0,0.0,niche_loose,segment×radial_layer,WM,colon,,
,2,0,0.0,niche_loose,segment×radial_layer,EPI,duodenum,,
,2,0,0.0,niche_loose,segment×radial_layer,EPI_LP,duodenum,,
,2,0,0.0,niche_loose,segment×radial_layer,EPI_LP_MUSC,duodenum,,
,9,1,0.1111111111111111,niche_loose,segment×radial_layer,EPI,ileum,,
,25,4,0.16,niche_loose,segment×radial_layer,EPI_LP,ileum,,
,8,0,0.0,niche_loose,segment×radial_layer,EPI_LP_MUSC,ileum,,
,22,3,0.13636363636363635,niche_loose,segment×radial_layer,LP,ileum,,
,7,0,0.0,niche_loose,segment×radial_layer,WM,ileum,,
,2,0,0.0,niche_loose,segment×radial_layer,EPI,jejunum,,
,1,0,0.0,niche_loose,segment×radial_layer,EPI_LP_MUSC,jejunum,,
,6,0,0.0,niche_loose,segment×radial_layer,LP,jejunum,,
not_full_thickness,87,14,0.16091954022988506,niche_loose,collection×depth,,,,biopsy
full_thickness,19,1,0.05263157894736842,niche_loose,collection×depth,,,,surgical resection
not_full_thickness,22,1,0.045454545454545456,niche_loose,collection×depth,,,,surgical resection
,18,2,0.1111111111111111,niche_loose,collection×radial_layer,EPI,,,biopsy
,32,7,0.21875,niche_loose,collection×radial_layer,EPI_LP,,,biopsy
,25,5,0.2,niche_loose,collection×radial_layer,LP,,,biopsy
,12,0,0.0,niche_loose,collection×radial_layer,WM,,,biopsy
,10,0,0.0,niche_loose,collection×radial_layer,EPI,,,surgical resection
