celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Villus Tip Enterocytes,epithelial,False,85,32,-0.8128139562031867,-0.8689245772727998,-0.056110621069613065,0.24408865200436403,0.3231596237804256,0.4905829061423632,inferential
Colonocyte Progenitors,epithelial,False,85,32,2.2645250817277076,1.9763931984460228,-0.2881318832816848,0.28048798348247717,0.36619264510212296,0.4362903826548577,inferential
Gamma Delta T Cells,lymphoid,False,105,40,-0.4374175220822652,-0.792266113095611,-0.3548485910133458,0.28537028187022984,0.36746310268221377,0.4347862623103776,inferential
Plasma IGA,lymphoid,False,105,40,0.6764196358450019,1.3142194528287814,0.6377998169837795,0.3228071092039513,0.4100522738536678,0.38716077547762473,inferential
CD4 Tfr,lymphoid,True,105,40,-0.929633423732799,-0.7884123460999295,0.1412210776328695,0.37510055473457216,0.47012602860066377,0.3277857033645912,inferential
Goblet Cells,epithelial,False,85,32,1.3346844493378631,0.9765102227250216,-0.3581742266128415,0.4356217738411069,0.5387953518561059,0.26857615955623776,inferential
Mast Cells,myeloid,False,72,35,0.9151231148518951,0.7481404870032305,-0.16698262784866458,0.45893218759921517,0.560254878367873,0.2516143531971422,inferential
Monocyte Derived Dendritic Cells (MO DC),myeloid,False,72,35,-0.3424548794469111,-0.505845165451631,-0.16339028600471994,0.47105661920842523,0.5676836180204099,0.24589363828470304,inferential
pDC,myeloid,False,72,35,-0.5197495414674447,-0.5372340879850056,-0.017484546517560928,0.5656539912476393,0.6730566478136467,0.17194838184208117,inferential
MAIT Cells,lymphoid,False,105,40,-0.47044012258562823,-0.5560873602442559,-0.08564723765862764,0.5818012422147816,0.6836164596023684,0.165187489209893,inferential
Naive B,lymphoid,False,105,40,0.5271426954963236,0.39055128437237674,-0.1365914111239469,0.5970573738332374,0.6844316236624917,0.1646699324085111,inferential
CD8 Naive,lymphoid,False,105,40,-0.6399123326352782,-0.5460931830694176,0.09381914956586068,0.5970573738332374,0.6844316236624917,0.1646699324085111,inferential
migDC,myeloid,False,72,35,-0.44435338977018113,-0.39523942228283404,0.04911396748734709,0.6043540060289323,0.6844491152616824,0.16465883355264643,inferential
