hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,hgca_celltype_level4,hgca_celltype_level5,hgca_celltype_v1,hgca_celltype_v0,Markers,Negative markers (careful if QC differences change presence),Comments,"please add 👍 if you agree with the cell type label and marker genes, otherwise add comment","""True"" if disagreement, here we track if we had any disagreement on the labels, because it may help point us to interesting areas for analysis",Other names for the same thing,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,cell_ontology_fillins
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,G Cells,,EEC G,EEC G Cells,"GAST, ERO1B, PGC",,"RZ: PGC is enriched, also found in ileum sometimes as a metaplasia",👍,,,CL:0000508,type G enteroendocrine cell,UBERON:0006799,glandular epithelium ,,CL:0000508
Epithelial,Enteroendocrine Cells (EEC),Gastric Enteroendocrine Cells,Enterochromaffin-like Cells (ECL Cells),,EEC Enterochromaffin-like (ECL),EEC Enterochromaffin-like Cells (ECL Cells),TPH1,,,👍,,,CL:0000504,enterochromaffin-like cell,UBERON:0006799,glandular epithelium ,,CL:0000504
Epithelial,Secretory Epithelial,,,,Secretory Epithelial,Secretory Epithelial,,,,,,,CL:1100001,secretory epithelial cell,,,,CL:1100001
Epithelial,Secretory Epithelial,Brunners Gland Cells,,,Brunners Gland Cells,Secretory Brunners Gland Cells,"MUC6, PGC, TFF2, HDAC9, AQP5",,,,,,CL:1001589,duodenum secretory cell,,,,CL:1001589
Epithelial,Secretory Epithelial,Paneth Cells,,,Paneth Cells,Secretory Paneth Cells,"DEFA5, DEFA6, LYZ, PRSS2, ITLN2, REG3A, PLA2G2A",,,👍👍👍👍,,,CL:0000510,paneth cell,UBERON:0006799,glandular epithelium ,,CL:0000510
Epithelial,Secretory Epithelial,Tuft Cells,,,Tuft Cells,Secretory Tuft Cells,"POU2F3, SH2D6, LRMP (IRAG2), TRPM5, SOX4, CD24, SPIB",,,👍👍👍,,,CL:0019032,intestinal tuft cell,UBERON:0000483,epithelium,,CL:0019032
Epithelial,Secretory Epithelial,Tuft Cells,Tuft Progenitors,,Tuft Progenitors,Secretory Tuft Cells,,,,,,,,,,,,
Epithelial,Secretory Epithelial,Goblet Cells,,,Goblet Cells,Secretory Goblet Cells,"CLCA1, TFF3, MUC2, SPINK4, REG4, ITLN1, FXYD3",,,👍👍👍,,,CL:0019031,intestine goblet cell,UBERON:0000483,epithelium,,CL:0019031
Epithelial,Secretory Epithelial,Goblet Cells,Mature goblet cells,,Mature Goblet Cells,Secretory Goblet cells Mature,TFF1,,"VG: I included this cluster although, maybe, we don't get to this level of resolution",,,,CL:0019031,intestine goblet cell,UBERON:0000483,epithelium,CL term goblet cell refers to mature goblet cells ,CL:0019031
Epithelial,Secretory Epithelial,Foveolar Cells,,,Foveolar Cells,,"TFF2, TFF1, MUC5AC, AGR2",,,,,,CL:0002179,foveolar cell of stomach,UBERON:0000483,epithelium,Update uberon to epithelium of stomach ,CL:0002179
Epithelial,Parietal Cells,,,,Parietal Cells,,"GPR155, CBLIF, ATP4A, ATP4B",,,,,,CL:0000162,parietal cell,UBERON:0000483,epithelium,Update uberon to epithelium of stomach ,CL:0000162
Epithelial,Chief Cells,,,,Chief Cells,,"PGA5, LIPF",,,,,,CL:0000155,peptic cell,UBERON:0000483,epithelium,Is chief cell the prefered term over peptic cell?Update uberon to epithelium of stomach ,CL:0000155
Epithelial,Neck Cells,,,,Neck Cells,,"MUC6, PGA3, LYZ, FUT9",,"AA - if we're doing gastric, added Neck Cells",,,,CL:0000651,mucous neck cell,UBERON:0006799,glandular epithelium ,,CL:0000651
Epithelial,Proliferative Epithelial,,,,Proliferative Epithelial,Proliferative Epithelial,,,Undifferentiated??,,,,,,,,,
Epithelial,Proliferative Epithelial,Intestinal Stem Cells (ISC),,,Intestinal Stem Cells (ISC),Epithelial Stem Cells (LGR5+),"LGR5, ASCL2, SMOC2, RGMB, CLDN3, TSPAN8, OLFM4",,"VG: CLDN3, TSPAN8 and LGALS4, no stem cell markers. OLFM4: although enriched, no stem cell exclusive.       
RZ: LGR5 may be lowly and sparsely expressed in ileum stem cells.
JC: Should we incorporate the progenitor populations into their own progenitor category?",,,,CL:0002250,intestinal crypt stem cell,UBERON:0011184,epithelium of crypt of Lieberkuhn,,CL:0002250
