celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
CD4 Th17,lymphoid,False,90,97,1.9356709236611709,2.1809343452774597,0.24526342161628878,0.30481453066115727,0.3616443584115425,0.44171830543164264
Crypt Top Colonocytes,epithelial,False,91,67,0.1795138428220535,-0.6916776496378573,-0.8711914924599108,0.360313823601222,0.420366127534759,0.3763722860248768
CD4 Tr1,lymphoid,False,90,97,-0.8994624556918318,-0.9740762901227681,-0.07461383443093628,0.3744008621228623,0.4296403335836124,0.3668949548909909
Naive B,lymphoid,False,90,97,-0.13845165803076434,-0.07454911589345031,0.06390254213731403,0.41338208370507656,0.4667217074089574,0.33094199943906305
Mid Villus Enterocytes,epithelial,False,91,67,1.0719887486765902,1.1154190348978537,0.04343028622126344,0.42448631722099983,0.4716514635788887,0.32637881356651005
Mature Goblet Cells,epithelial,False,91,67,0.5600827361687012,0.09906020914405822,-0.46102252702464297,0.5334518387943483,0.5834629486813185,0.2339867175006238
NK Cells,lymphoid,False,90,97,0.4066909299787684,0.3836713389451187,-0.0230195910336497,0.6545068473482192,0.7048535279134668,0.15190112219714627
BEST4 Enterocytes,epithelial,False,91,67,-0.14140450244957542,-0.04596794851903244,0.09543655393054298,0.7276034590696315,0.771700638407185,0.11255114046975222
Secretory Progenitors,epithelial,False,91,67,0.831473942230487,0.8928872823306506,0.06141334010016364,0.9075692660636238,0.9482066958873681,0.023096982178138097
CD8 Effector Memory,lymphoid,False,90,97,0.3373299116602293,0.21438347538021207,-0.12294643628001722,0.93427167186897,0.9617502504533515,0.016937691924713973
Villus Tip Enterocytes,epithelial,False,91,67,1.4253192326107917,1.096255537665241,-0.32906369494555077,0.9747391903346261,0.9887714679301222,0.00490407411133339
Goblet Cells,epithelial,False,91,67,1.2717658085550294,1.2308242937872003,-0.040941514767829146,0.9887714679301222,0.9887714679301222,0.00490407411133339
