Disease,predicted_Prelim_annotation,n,mean,median,std,p10,p25,p75,p90
CD,EEC Enterochromaffin Cells,3509,0.5075140571920135,0.18021325767040253,0.6384227365389182,0.02241647131741047,0.05427815392613411,0.7724066376686096,1.6277486085891728
CD,CD8 IEL,3165,0.7751007673190833,0.6790183782577515,0.5653718624077795,0.09718087464571001,0.26489195227622986,1.2220666408538818,1.5864096641540526
CD,Secretory Goblet Cells,3021,0.5718118237687846,0.28897571563720703,0.6262171502833357,0.008110272698104382,0.03452879562973976,1.0203927755355835,1.5848513841629028
CD,Pericytes Angiogenic,2609,0.6241371619571164,0.5413188338279724,0.4325053787921584,0.1400708705186844,0.25214052200317383,0.9038422107696533,1.2677011489868166
CD,CD8 T,2461,1.0800800261529346,1.086996078491211,0.475653604331303,0.41603076457977295,0.7164833545684814,1.4492461681365967,1.7097829580307007
CD,Glia Myenteric Plexus / Type I,2310,0.6244030523609806,0.6279389262199402,0.31066026955052656,0.21346179842948915,0.36804305016994476,0.8191104680299759,1.0363003134727478
CD,ILC NK Cells,2125,0.43972955798927477,0.3187794089317322,0.4015559031093835,0.058412683010101316,0.13851693272590637,0.6386451125144958,0.95502268075943
CD,Granulocytes Mast Cells,2036,0.019039638894467126,0.0006262287497520447,0.09141867319924758,0.00012412959767971188,0.00025539616763126105,0.0023679881123825908,0.019443325698375702
CD,vascular endothelial Pre venule capillary (PVC),2012,0.4766586021375315,0.3748876303434372,0.4081981853228955,0.04463836513459683,0.11287499032914639,0.75697460770607,1.0525134921073915
CD,Enterocytes Early,1930,0.9547907370707223,0.9181328117847443,0.4643402571897809,0.34285081923007965,0.6327028721570969,1.2021547555923462,1.6351903676986694
CD,Secretory Tuft Cells,1871,0.27216057469234106,0.03106667473912239,0.5042657788023589,0.0023093835916370153,0.006660120794549584,0.22972282022237778,1.0592353343963623
CD,CD4 Memory,1741,1.1479298660594763,1.155632734298706,0.37516544360463994,0.6626436710357666,0.914650022983551,1.4078748226165771,1.6243653297424316
CD,Follicle associated enterocyte (FAE),1726,1.0004547032487696,0.9252354800701141,0.4869746555291064,0.393340140581131,0.6340653896331787,1.3412357568740845,1.6852057576179504
CD,ILC3,1415,0.5859812228450084,0.565007209777832,0.3437268252510572,0.2167530059814453,0.3761756718158722,0.6916954517364502,0.8810197472572328
CD,Glia Extra-Ganglionic,1398,0.7882539713875163,0.7464175522327423,0.3848145693328249,0.33454729318618776,0.5291813611984253,0.9868150949478149,1.2831133961677552
CD,T GammaDelta,1309,0.8539689058164737,0.8501946926116943,0.5169442030125204,0.16264884769916535,0.4075203835964203,1.2457118034362793,1.5615486145019533
CD,Smooth Muscle Cells (SMC),1153,0.24570742006175256,0.05095113813877106,0.3940713240536152,0.00366065357811749,0.010087515227496624,0.2978169322013855,0.8065262913703918
CD,Glia Mucosal/Type III,1056,0.8518974397500808,0.852904736995697,0.34260477550841634,0.37999899685382843,0.6127665638923645,1.0899328291416168,1.2698854804039001
CD,SMC Inner Muscle Cells,1042,0.5097876704260421,0.3639686703681946,0.43701383018403117,0.08916381374001503,0.15570033714175224,0.7282996773719788,1.2273134946823119
CD,Secretory TA,993,1.107809325509441,1.093212366104126,0.39846982560694416,0.6090796828269959,0.8062507510185242,1.3773249387741089,1.642487096786499
CD,Microfold Cells (M Cells),912,0.9895214935143789,0.9475731253623962,0.5262780932087114,0.3331231713294983,0.5270255953073502,1.3869754076004028,1.711363649368286
CD,EEC L Cells (PYY+),837,0.7512544599876894,0.7149803638458252,0.37332250246576426,0.33368826508522037,0.4721517264842987,0.9437564015388489,1.183452486991882
CD,vascular endothelial Post arteriole capillary (PAC),812,0.7521187995601757,0.7465709149837494,0.3651063456486871,0.28871378302574163,0.48125701397657394,0.9871203899383545,1.1927315711975097
CD,doublet,730,1.1170854885214048,1.1644980907440186,0.5498624885352232,0.318436947464943,0.7199469208717346,1.5298596322536469,1.7834075450897218
CD,CD4 Th1,705,1.4449955561059586,1.4452964067459106,0.3528005169733693,0.9635468125343323,1.2046303749084473,1.7020411491394043,1.897371196746826
CD,Glia Submucosal Plexus / Type I,705,0.7257748695711295,0.7325440645217896,0.4205160058450977,0.17345899641513823,0.3914846181869507,0.9698052406311035,1.267085313796997
CD,Pericytes Immature,682,0.876925139952877,0.8532505333423615,0.3808769602430606,0.39035597145557405,0.5952977985143661,1.1191572844982147,1.3916120290756224
CD,DC cDC1,658,0.18253162916715923,0.013110870029777288,0.3624625996837086,0.0011390486150048673,0.0027466872124932706,0.12952477484941483,0.7021797895431526
CD,Fibroblastic reticular cells,648,0.41017049118979937,0.23023273050785065,0.42903171392446354,0.016249926760792732,0.04454502370208502,0.7081510722637177,1.0442362546920776
CD,ILC2,568,0.5593548674320041,0.6059242784976959,0.18588324703050652,0.2905854254961014,0.4314086362719536,0.6869578957557678,0.7118602693080902
CD,Pericytes Contractile,559,0.8685447785316938,0.8810665607452393,0.41186746336906027,0.3031754970550537,0.5565387904644012,1.149454653263092,1.3964793682098386
CD,Fibroblasts Subepithelial (S2),522,0.5796893955533076,0.5908673703670502,0.2997843052560697,0.1863676682114601,0.3249909430742264,0.7551418244838715,0.9814873754978181
CD,Fibroblasts Crypt Top (S2B),511,0.5338620005928184,0.47528424859046936,0.40177442140933206,0.09498134255409241,0.20888756215572357,0.748851090669632,1.0173287391662598
CD,Fibroblasts Muscularis Propria,454,0.6116692261680108,0.6618728041648865,0.31988733778260053,0.16367986202239992,0.332288920879364,0.8148791342973709,0.9898250877857209
CD,Macrophages M2,453,0.6114244638565952,0.600377082824707,0.3950417628422985,0.08908992856740953,0.2561400234699249,0.8750008344650269,1.1826873540878298
CD,vascular endothelial,404,0.7188114714578236,0.7059504985809326,0.451528332686984,0.12975379675626755,0.3045397251844406,1.0662484765052795,1.3336823105812072
CD,DC migDC,403,0.24089326663607172,0.06572195142507553,0.3522447530565509,0.006658300291746856,0.015350192319601774,0.31432729959487915,0.7564681053161623
CD,CD8 Naive,382,1.264155867524172,1.2763307690620422,0.36730719859614513,0.7800629615783692,1.0264846682548523,1.5293856859207153,1.7079560160636904
CD,vascular endothelial Lymphatic,371,0.12522722098655054,0.006577780935913324,0.34392760478672163,0.0011441037058830261,0.002103875274769962,0.04215465486049652,0.35896196961402893
CD,Secretory Paneth Cells,360,0.3841883635314338,0.08388331159949303,0.5415246287605895,0.0009009264991618693,0.004842216498218477,0.6044116914272308,1.3332524418830873
CD,Glia Intra-Ganglionic,337,0.8222461306553566,0.7820352911949158,0.304173407955656,0.4762769639492035,0.6173509359359741,0.9836302399635315,1.2311784744262697
CD,Enterocytes BEST4,334,0.5340024826728912,0.3769959360361099,0.5412943738567146,0.009508172050118448,0.0370584512129426,0.9328645020723343,1.223830473423004
CD,Macrophages Cycling,324,0.2061047975883322,0.06570864841341972,0.30321737837378715,0.006346834497526289,0.017009648494422436,0.24605942890048027,0.7008946299552917
