lineage,dataset_id,dataset_name,label_id,label_name,full_name,cell_count,cap_marker_genes,cap_canonical_marker_genes,cap_synonyms,cap_rationale,cap_rationale_dois,cap_ontology_term,cap_ontology_term_id,score_agree,score_disagree,score_idk,n_feedback
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663565,Monocytes,monocyte,4407,"CD14,FCN1,LYST,AREG,PLAUR,CD300E,VCAN","CD14,LST1,S100A8","classical monocytes,intermediate monocytes,nonclassical monocytes","These clusters have high CD14, FCN1, LST1, VCAN, and inflammatory chemokine/adaptive-interface genes, and include classical and nonclassical states. May be possible to further subdivide into classical/nonclassical subtypes",10.1038/s41586-021-03852-1,monocyte,CL:0000576,1,2,1,4
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663566,Fibroblasts Follicular Dendritic Cells (fDC),follicular dendritic cell,143,"CR1,CR2,CXCL13,TNFSF13B","CR1,CR2,CXCL13",fDCs,"Displays CR1, CR2, CXCL13, TNFSF13B, and complement receptor driven antigen retention machinery. These also express stroma lineage markers, making them easy to annotate within the myeloid lineage.",10.1016/j.cell.2019.06.029,follicular dendritic cell,CL:0000442,0,2,0,2
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663567,Macrophages M2,alternatively activated macrophage,3361,"CD209,CD163L1,FOLR2,MRC1","MRC1 (CD206),FOLR2,CD163L1",M2 macrophages,"Expresses MRC1 (CD206), FOLR2, CD163L1, CD209, and other alternative activation metabolic genes, marking tissue repair and IL4/IL13 responsive programs",10.1016/j.cell.2019.06.029,M2 macrophage,CL:0000890,0,4,1,5
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663568,Granulocytes Mast Cells,mast cell,17705,"CPA3,TPSB2,TPSAB1,CTSG,HPGDS,KIT","KIT,TPSAB1,CPA3",mucosal mast cell,"presence of KIT, FCER1A, FCER1G could point to matured Mast cells with chymase, something to look out for here. In general, CPA3 and tryptase (TPSAB*) genes are highly expressed and unique to mast cell populations, making them easy to annotate in gut data",10.1182/bloodadvances.2022006969,mast cell,CL:0000097,0,3,0,3
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663569,"DC Monocyte derived dendritic cell
(MO DC)",monocyte-derived dendritic cell,496,"MSR1,NPR2","MSR1,CD1A,CCR2",MDDC cell,"Shows MSR1, NPR2, and monocyte-to-DC transition markers, defining monocyte-derived dendritic cells arising under inflammatory differentiation",10.1016/j.cell.2019.06.029,monocyte-derived dendritic cell,CL:0011031,0,0,0,0
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663570,Granulocytes,granulocyte,35,"CLC,IL4,CPA3,FCGR2B","CLC,FCGR3B,S100A12","polymorphonuclear leukocytes,PMN,PML,PMNL","Expresses granulocytic effectors including CLC, IL4 inducible modules, CPA3, and Fcγ receptor associated genes, hint at polymorphonuclear granulocytes distinct from mast cells. Obviously a big ? given difficulty in picking these up with typical droplet-based protocols",10.1038/s41586-021-03852-1,granulocyte,CL:0000094,0,1,0,1
myeloid,2167,HCA Gut Cell Atlas v1 Myeloid Lineage,663571,doublets,NA,1849,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain combined data from a pair of cells rather than data from one cell and should therefore be discarded.,NA,NA,NA,0,3,0,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664051,SMC Inner Muscle Cells,inner smooth muscle cells,924,"FOXF2,MORN5","FOXF2,MORN5,ACTG2",unknown,"SMC with FOXF2 and MORN5, likely inner circular smooth muscle layer of gut wall. Tissue section should be checked for these to ensure not myofibroblast",,smooth muscle cell,CL:0000192,0,2,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664061,vascular endothelial Lacteals,endothelial cell of lymphatic vessel,442,"PROX1,CD36,TCF15,RELN","PROX1,CD36,TCF15",unknown,"Lacteals here were annotated due to a strong fatty acid and glycerol uptake program. We should check if stroma_13_0 are present mostly in duodenum, consistent with villus lacteals being more prominent in small intestine. RELN here points to crypt",,endothelial cell of lymphatic vessel,CL:0002138,0,1,0,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664067,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),submucosal fibroblast (S3),2105,"GREM1,C7,OLFM4,PTGS2,THY1,SEMA3A,GLI1","RSPO3,GREM1,PDGFRA",unknown,"Submucosal S3 fibroblasts occupy deeper layers and crypt base regions and are enriched for GREM1, C7, OLFM4, PTGS2, THY1, SEMA3A and GLI1, consistent with crypt-support or trophocyte roles. Cluster-level annotations describe RSPO3, GREM1, DCN and C3 as strong markers of submucosal fibroblasts (for example Stroma_2_0) and we note that S3 populations have lower dataset diversity and appear deeper than lamina propria fibroblasts, especially in resection-derived data. Multiple clusters labeled as Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3) recur with similar signatures, supporting a distinct S3 fibroblast class even though a dedicated CL term is still needed.",,fibroblast,CL:0000057,0,1,2,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664062,Pericytes Immature,immature pericyte,345,"NDUFA4L2,PDGFRB,CSPG4","PDGFRB,CSPG4,RGS5",unknown,"We identified these with NDUFA4L2, PDGFRB and CSPG4 expression. Not sure about the latter two.",,immature pericyte,CL:4047007,0,0,0,0
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664063,Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),mesenchymal lymphoid tissue organizer fibroblast,166,"RANKL,CXCL14,TNFSF11","TNFSF11,CXCL14,PDPN",unknown,"Clusters annotated as Fibroblasts mLTo Cells show expression of RANKL (TNFSF11), CXCL14 and other lymphoid-organizing genes in addition to a fibroblast matrix program, and Stroma_19_0 especially ""could be mLTo because RANKL, CXCL14, TNFSF11"". These cells likely represent a specialized organizer subset related to fibroblastic reticular cells but with stronger RANKL-driven lymphoid organizing functions. The population is relatively small and has moderate dataset diversity, consistent with tissue-restricted lymphoid niches, so we annotate it as a candidate mesenchymal lymphoid tissue organizer fibroblast class.",,fibroblast,CL:0000057,0,0,1,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664039,Fibroblasts Crypt Bottom (S2A),crypt-bottom fibroblast,4205,VSTM2A,"PDGFRA,VSTM2A,POSTN",unknown,"S2A fibroblasts sit near the crypt base and are enriched for VSTM2A together with PDGFRA, BMP4, WNT5A, POSTN and other S2 markers. Several clusters annotated as Fibroblasts Crypt Bottom (S2A) show very low dataset diversity but reproducible expression of POSTN, F3 and BMPs, and differences between individual S2A annotation clusters are subtle (see annotation_cluster) and may largely reflect activation and quality flags (for example high mitochondrial content) rather than true subtypes. We therefore annotate a single S2A cell type corresponding to crypt-bottom fibroblasts with high-confidence positional identity and variable activation signatures.",,crypt-bottom fibroblast,CL:4052008,2,0,1,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664040,Fibroblasts Crypt Top (S2B),crypt-top fibroblast,2394,"NRG1,NPY","PDGFRA,VEGFD,NRG1",unknown,"S2B fibroblasts are positioned toward the crypt top or villus tip and are characterized by NRG1 and NPY, we also highlight VEGFD and TRPA1 as convincing markers of villus-tip subepithelial fibroblasts. Clusters annotated as Fibroblasts Crypt Top (S2B) (for example Stroma_1_1 and 12_1–12_4) show these markers along with the broader S2 program and are present in multiple datasets, albeit with varying mitochondrial content and dataset diversity. We therefore treat S2B as a robust positional subtype of S2, capturing villus-tip fibroblasts with strong NRG1/VEGFD/TRPA1 signatures.",,crypt-top fibroblast,CL:4052009,1,1,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664041,vascular endothelial Arteriolar,endothelial cell of artery,3481,"PLVAP,TM4SF1,SEMA3G,MGP,IGFBP4","SEMA3G,PLVAP,TM4SF1",unknown,"Arteriolar endothelial cells express SEMA3G, PLVAP, TM4SF1, MGP",,endothelial cell of artery,CL:1000413,1,0,2,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664042,vascular endothelial Pre venule capillary (PVC),pre-venule capillary cell,952,"LITAF,ICAM1","ICAM1,LITAF,VCAM1",unknown,"Identified by LITAF and ICAM1 expression, consistent with pre venous capillary beds positioned before venules in intestinal microcirculation.",,pre-venule capillary cell,CL:4047030,0,0,1,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664043,Fibroblasts Subserosal,intestinal subserosal fibroblast,5629,"DPT,C7,POSTN","POSTN,DPT,COL1A1",unknown,"Fibroblasts annotated as Subserosal are enriched for DPT, C7 and POSTN and tend to form deeper fibroblast clusters with lower dataset diversity (for example Stroma_8_0 and 8_1). We note that some clusters labeled as Subserosal in the original annotations appear in many biopsy-derived datasets, so we question whether they are truly subserosal versus generally deeper S3 fibroblasts. Do we need a deeper S3 fibroblast annotation? We therefore sometimes use the Intestinal Subserosal Fibroblasts and sometimes S3 term for DPT+/C7+/POSTN+ deeper fibroblasts while acknowledging that the exact boundary between subserosal and submucosal S3 fibroblasts is still being refined.",,intestinal subserosal fibroblast,CL:4052005,0,2,1,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664044,Fibroblasts Subepithelial (S2),subepithelial fibroblast (intestinal S2),442,"PDGFRA,BMP4,F3,NPY,CD34,TRPA1,SOX6,WNT5A,POSTN","PDGFRA,CD142,POSTN",unknown,"S2 fibroblasts form a subepithelial band under the epithelium and are characterized by PDGFRA, BMP4, F3, NPY, CD34, TRPA1, SOX6, WNT5A and POSTN expression. Multiple clusters are noted as FOS+ Fibroblast Subepithelial with clear POSTN, F3 and BMP signatures and we note that TRPA1 and VEGFD are good markers higher in the villus axis, while VSTM2A and NRG1 mark bottom and top crypt positions respectively. These clusters are present across many datasets with varying activation and mitochondrial signatures, suggesting a continuum of S2 fibroblast states rather than distinct cell types.",,subepithelial fibroblast (intestinal S2),CL:4052007,1,2,0,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664045,vascular endothelial Post arteriole capillary (PAC),post-arteriole capillary cell,1828,"RGCC,FCN3","RGCC,FCN3,RBP7",unknown,"RGCC and FCN3, distinguishing it from pre venule capillaries and venules in gut vasculature.",,post-arteriole capillary cell,CL:4047029,1,0,0,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664046,Glia Myenteric Plexus / Type I,type 1 myenteric plexus glia,629,"TF,BCAN,CACLB","BCAN,TF,GJB1",unknown,"Myenteric plexus type I glia are identified by TF, BCAN and CACLB expression on top of a pan-glial program, and occupy clusters that align with deeper muscularis propria / submucosal regions in the integrated object. These clusters are present across datasets with full-thickness or muscularis-enriched sampling, consistent with myenteric plexus localization. The glial subtypes performed poorly in reference mapping benchmarks, so a lesser resolution is likely best for the data currently. Annotation experts also point to less confidence in glial subtypes",,type 1 myenteric plexus glia,CL:4047042,0,0,0,0
