cell_state,plot_lineage,hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,qc_lineage
EEC N,Epithelial,Epithelial,Enteroendocrine Cells (EEC),N Cells (NTS+),Epithelial
EEC Progenitors,Epithelial,Epithelial,Enteroendocrine Cells (EEC),EEC Progenitor,Epithelial
EEC S,Epithelial,Epithelial,Enteroendocrine Cells (EEC),S Cells (SCT+),Epithelial
Enterocyte Progenitors,Epithelial,Epithelial,Absorptive Epithelial,Enterocytes,Epithelial
Enteroendocrine Cells (EEC),Epithelial,Epithelial,Enteroendocrine Cells (EEC),nan,Epithelial
Eosinophils,Myeloid,Myeloid,Granulocytes,Eosinophils,Myeloid
Epithelial,Epithelial,Epithelial,nan,nan,Stromal
Fibroblastic Reticular Cells (FRC),Stromal,Stromal,Fibroblasts,Fibroblastic reticular cells (FRC),Stromal
Follicle Associated Resident Macrophages,Myeloid,Myeloid,Macrophages,Tissue Resident Macrophages,Myeloid
Follicular Dendritic Cells (fDC),Stromal,Stromal,Fibroblasts,Follicular Dendritic Cells (fDC),Myeloid
Foveolar Cells,Epithelial,Epithelial,Secretory Epithelial,Foveolar Cells,Epithelial
GC B Dark Zone (GC B DZ),Lymphoid,Lymphoid,B Cells,Germinal Center B Cells (GC B),Lymphoid
GC B Light Zone (GC B LZ),Lymphoid,Lymphoid,B Cells,Germinal Center B Cells (GC B),Lymphoid
Gamma Delta T Cells,Lymphoid,Lymphoid,T Cells,Unconventional T Cells,Lymphoid
Glia,Glial,Stromal,Glia,nan,Stromal
Goblet Cells,Epithelial,Epithelial,Secretory Epithelial,Goblet Cells,Epithelial
Homeostatic Macrophages,Myeloid,Myeloid,Macrophages,Tissue Resident Macrophages,Myeloid
ILC3,Lymphoid,Lymphoid,Innate Lymphoid Cells (ILC),ILC3,Lymphoid
Interstitial Cells of Cajal (ICC),Stromal,Stromal,Fibroblasts,Interstitial Cells of Cajal (ICC),Stromal
Intestinal Stem Cells (ISC),Epithelial,Epithelial,Proliferative Epithelial,Intestinal Stem Cells (ISC),Epithelial
Lamina propria Fibroblasts (S1),Stromal,Stromal,Fibroblasts,Lamina propria fibroblasts (S1),Stromal
Lower Crypt Colonocytes,Epithelial,Epithelial,Absorptive Epithelial,Colonocytes,Epithelial
Lower Villus Enterocytes,Epithelial,Epithelial,Absorptive Epithelial,Enterocytes,Epithelial
Lymphatic Endothelial,Endothelial,Stromal,Endothelial,Lymphatic Endothelial,Stromal
